H|       35415|H|07 18 42.49|-24 57 15.8| 4.37|1|H|109.67703283|-24.95438447|*|   1.02|   -1.82|    3.74|  0.59|  0.94|  0.71|  0.45|  0.59| 0.29| 0.04| 0.02|-0.13| 0.03|-0.08| 0.02|-0.17| 0.00| 0.10|  7| 3.02| 35415| 4.185|0.002| 4.373|0.002|*|-0.132|0.030|G|-.10|0.02|A|*| 4.3329|0.0014|0.020|216|*| 4.31| 4.37|   1.28|P|1|A|07187-2457|I| 1| 2|C| |A|PA|299|  0.151|0.003| 0.44|0.10|S| |P| 57061|          |C-24  5176|P-24  2216|-.10|O9Ib        |4 
H|       68702|H|14 03 49.44|-60 22 22.7| 0.61|1|G|210.95601898|-60.37297840|A|   6.21|  -33.96|  -25.06|  0.43|  0.44|  0.56|  0.51|  0.45|-0.11|-0.16| 0.14|-0.07| 0.15|-0.07| 0.21|-0.29|-0.08| 0.57|  6| 1.36| 68702| 0.435|0.014| 0.609|0.013|*|-0.231|0.017|G|-.25|0.02|A|*| 0.5366|0.0014|0.009| 86|*| 0.52| 0.56|       |U|2| |14038-6022|I| 1| 2|C| |A|AB|234|  0.871|0.012| 3.37|0.07|S| | |122451|          |          |P-59  5365|-.25|B1III       |X 
H|       91262| |18 36 56.19|+38 46 58.8| 0.03|1|G|279.23410832|+38.78299311| | 128.93|  201.02|  287.46|  0.48|  0.47|  0.55|  0.57|  0.60|-0.02|-0.08|-0.12| 0.30| 0.02|-0.13| 0.01| 0.28|-0.05|-0.15|  2| 1.31| 91262|      |     |      |     | |-0.001|0.005|G|-.01|0.02|A| | 0.0868|0.0021|0.014| 90| | 0.07| 0.13|       |U|2|C|18369+3847|I| 1| 1| | |S|  |   |       |     |     |    |S| | |172167|B+38 3238 |          |          |-.01|A0Vvar      |X 
H|       37279| |07 39 18.54|+05 13 39.0| 0.40| |G|114.82724194|+05.22750767|+| 285.93| -716.57|-1034.58|  0.82|  0.50|  0.88|  0.88|  0.38| 0.03| 0.21|-0.30|-0.19|-0.06|-0.22|-0.07|-0.55| 0.14| 0.09|  0| 1.94| 37279|      |     |      |     | | 0.432|0.015|G|0.49|0.02|A| | 0.4607|0.0017|0.007| 20| | 0.45| 0.52|       | | | |07393+0514|I| 1| 1|O| | |  |   |       |     |     |    |S| |D| 61421|B+05 1739 |          |          |0.49|F5IV-V      |X 
