Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
9,Diffused UV data in frame (Total_photons):,      ,1100A,12011.174307999996,1500A,8512.720319000004,2300A,5573.990717999999
10,Empty frame,,,,,,,,[340.42696572  -5.75082188]
10,Celestial_data for frame:,      ,Sun,"(np.float64(21.874923357070752), np.float64(-12.739841593860175))",moon,"(np.float64(11.44507772247091), np.float64(3.1584082321587648))"
10,Diffused UV data in frame (Total_photons):,      ,1100A,8777.755842,1500A,5810.661317,2300A,4150.825317
11,Empty frame,,,,,,,,[341.04733697  -5.74838588]
11,Celestial_data for frame:,      ,Sun,"(np.float64(21.874930875611387), np.float64(-12.739802016608813))",moon,"(np.float64(11.445160501564969), np.float64(3.1577353572610662))"
11,Diffused UV data in frame (Total_photons):,      ,1100A,12465.753480000001,1500A,8042.393650000001,2300A,6168.812178000003
12,112598,342.0740172,-5.76743381,8.11,2.46,0.022,K2          ,3.780000000000001,"[[341.66770359  -5.74524959]
 [342.66768214  -5.73869992]
 [342.67095697  -6.23868919]
 [341.67097842  -6.24523887]]"
12,Celestial_data for frame:,      ,Sun,"(np.float64(21.874938394149336), np.float64(-12.739762439311148))",moon,"(np.float64(11.445243280403048), np.float64(3.1570624820576505))"
12,Diffused UV data in frame (Total_photons):,      ,1100A,12631.252518999998,1500A,9088.392667000002,2300A,6142.594034
13,Empty frame,,,,,,,,[342.28806649  -5.74141338]
13,Celestial_data for frame:,      ,Sun,"(np.float64(21.87494591268461), np.float64(-12.739722861967174))",moon,"(np.float64(11.445326058985263), np.float64(3.1563896065516968))"
13,Diffused UV data in frame (Total_photons):,      ,1100A,10271.879767999997,1500A,7235.339980999999,2300A,3887.316334
14,113028,343.36497124,-5.98792845,6.94,9.19,0.009,A2          ,6.119999999999999,"[[342.90842662  -5.73687767]
 [343.90838782  -5.72806822]
 [343.91279254  -6.22804882]
 [342.91283134  -6.23685826]]"
14,113045,343.40781276,-6.10874311,8.26,2.18,0.197,K0          ,3.4800000000000004,"[[342.90842662  -5.73687767]
 [343.90838782  -5.72806822]
 [343.91279254  -6.22804882]
 [342.91283134  -6.23685826]]"
14,Celestial_data for frame:,      ,Sun,"(np.float64(21.874953431217207), np.float64(-12.739683284576898))",moon,"(np.float64(11.445408837311183), np.float64(3.1557167307409295))"
