Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
1,73608,225.68707311,-3.03132767,6.6,10.68,0.003,A5m         ,0.8000000000000007,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73620,225.7252916,2.09127129,4.39,17.78,0.04,K0III       ,5.220000000000001,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73655,225.8433374,0.88970987,6.91,4.86,0.012,K0          ,0.17999999999999972,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73977,226.7785962,2.36265276,6.59,2.35,0.012,K2          ,0.8200000000000003,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,73998,226.83032211,8.95854292,6.88,3.62,0.017,K5          ,0.2400000000000002,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74016,226.88775067,9.22597488,6.72,31.21,0.02,G5          ,0.5600000000000005,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74026,226.91801634,5.49808887,6.16,6.11,0.046,K0III       ,1.6799999999999997,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74359,227.94885092,10.2165233,6.89,8.21,0.002,A0          ,0.22000000000000064,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74441,228.19664484,10.70246828,6.5,4.87,0.008,K2          ,1.0,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74537,228.46514866,-1.35016449,6.58,57.8,0.009,K0V         ,0.8399999999999999,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
