Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
24,13889,44.71268905,-52.09597316,8.44,9.89,0.736,F7/F8V      ,1.120000000000001,"[44.41906786066707, -52.586493595423974, 44.819067860667076, -50.586493595423974]"
25,15451,49.82324986,-50.87529251,8.22,8.48,0.466,F3V         ,1.5599999999999987,"[49.655896048592886, -52.65999066638698, 50.05589604859289, -50.65999066638698]"
25,15539,50.0493518,-52.03156278,8.44,29.64,0.785,K0V         ,1.120000000000001,"[49.655896048592886, -52.65999066638698, 50.05589604859289, -50.65999066638698]"
26,17111,54.97830474,-51.68689691,8.5,4.04,0.481,F5V         ,1.0,"[54.88247035653749, -52.500368061823835, 55.282470356537495, -50.500368061823835]"
27,18691,60.06469277,-51.56498143,6.51,2.74,1.651,M1III       ,4.98,"[60.04609131698676, -52.11060915720958, 60.44609131698677, -50.11060915720958]"
28,20292,65.23189248,-51.04441543,7.58,4.84,0.797,K1/K2III+.. ,2.84,"[65.09854139566627, -51.497740957819055, 65.49854139566628, -49.497740957819055]"
29,,,,,,,,,"([69.9990797372526, -50.672245684237865, 70.3990797372526, -48.672245684237865],)"
30,23196,74.87350281,-49.4580992,6.99,6.41,0.375,F3V         ,4.02,"[74.71624901861992, -49.647260765494785, 75.11624901861992, -47.647260765494785]"
30,23211,74.92351331,-49.12370952,8.1,2.95,1.018,G8III       ,1.8000000000000007,"[74.71624901861992, -49.647260765494785, 75.11624901861992, -47.647260765494785]"
30,23260,75.07596386,-48.40217942,8.68,1.55,1.342,K2III       ,0.6400000000000006,"[74.71624901861992, -49.647260765494785, 75.11624901861992, -47.647260765494785]"
31,,,,,,,,,"([79.22848133360979, -48.43768940317004, 79.6284813336098, -46.43768940317004],)"
32,26217,83.80851028,-46.94537239,8.66,11.46,0.686,G5V         ,0.6799999999999997,"[83.52361704398633, -47.05934997750735, 83.92361704398634, -45.05934997750735]"
33,27578,87.61393079,-43.70014321,8.71,19.96,0.678,G6V         ,0.5799999999999983,"[87.59771354239729, -45.52823964061075, 87.99771354239729, -43.52823964061075]"
33,27669,87.86834972,-44.52811544,8.32,5.0,1.087,K0III       ,1.3599999999999994,"[87.59771354239729, -45.52823964061075, 87.99771354239729, -43.52823964061075]"
33,27693,87.9463805,-44.0144558,8.57,9.73,0.37,F2V         ,0.8599999999999994,"[87.59771354239729, -45.52823964061075, 87.99771354239729, -43.52823964061075]"
34,28888,91.49079383,-42.79053423,8.68,1.97,0.95,G6III       ,0.6400000000000006,"[91.4534483342548, -43.859972296057116, 91.85344833425481, -41.859972296057116]"
34,28957,91.67111635,-42.29879701,6.15,10.13,0.246,Am          ,5.699999999999999,"[91.4534483342548, -43.859972296057116, 91.85344833425481, -41.859972296057116]"
35,,,,,,,,,"([95.09848539097734, -42.069375472338336, 95.49848539097735, -40.069375472338336],)"
36,31453,98.84191256,-38.80883471,7.47,5.44,0.048,A0V         ,3.0600000000000005,"[98.54395218680577, -40.17024671964735, 98.94395218680577, -38.17024671964735]"
37,32537,101.83919491,-37.92967246,5.27,9.85,-0.078,B8/B9V      ,7.460000000000001,"[101.80317191893829, -38.175224643953825, 102.2031719189383, -36.175224643953825]"
37,32605,102.04125744,-37.97079027,8.45,1.13,1.41,K3III       ,1.1000000000000014,"[101.80317191893829, -38.175224643953825, 102.2031719189383, -36.175224643953825]"
37,32632,102.10536512,-37.59796425,7.75,9.35,0.269,A7III       ,2.5,"[101.80317191893829, -38.175224643953825, 102.2031719189383, -36.175224643953825]"
38,33749,105.15819703,-35.83787417,7.84,2.4,0.0,B8/B9IV     ,2.3200000000000003,"[104.89064021943464, -36.095767000778224, 105.29064021943465, -34.095767000778224]"
38,33751,105.16294703,-36.03566285,8.15,4.33,0.378,F0          ,1.6999999999999993,"[104.89064021943464, -36.095767000778224, 105.29064021943465, -34.095767000778224]"
39,34728,107.86111218,-32.80270329,8.73,-0.25,1.745,M1III       ,0.5399999999999991,"[107.8212894148525, -33.942176447554836, 108.2212894148525, -31.942176447554836]"
39,34813,108.10030059,-31.98187391,7.13,1.47,1.724,M1III       ,3.74,"[107.8212894148525, -33.942176447554836, 108.2212894148525, -31.942176447554836]"
40,35791,110.74164513,-29.75078982,7.63,0.83,1.083,G5II        ,2.74,"[110.60996040378332, -31.723675013121454, 111.00996040378332, -29.723675013121454]"
40,35859,110.89438074,-31.29993519,7.99,2.6,-0.084,B9III       ,2.0199999999999996,"[110.60996040378332, -31.723675013121454, 111.00996040378332, -29.723675013121454]"
40,35866,110.91837852,-30.44925737,7.03,9.35,0.113,A3V         ,3.9399999999999995,"[110.60996040378332, -31.723675013121454, 111.00996040378332, -29.723675013121454]"
40,35887,110.9768212,-30.21702088,6.61,1.56,-0.198,B2III       ,4.779999999999999,"[110.60996040378332, -31.723675013121454, 111.00996040378332, -29.723675013121454]"
