Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
108,104872,318.65428627,0.09228716,6.38,4.76,1.574,M1III       ,5.24,"[318.53849834784177, -1.1180254165369716, 318.93849834784174, 0.8819745834630284]"
108,104878,318.67125048,-0.83195634,7.43,4.11,0.092,A2V         ,3.1400000000000006,"[318.53849834784177, -1.1180254165369716, 318.93849834784174, 0.8819745834630284]"
108,104947,318.87873376,-0.26879787,8.25,4.55,0.944,K0          ,1.5,"[318.53849834784177, -1.1180254165369716, 318.93849834784174, 0.8819745834630284]"
109,105534,320.61151034,-3.13009634,6.67,10.19,0.384,F2          ,4.66,"[320.5528583191407, -3.666495912668484, 320.95285831914066, -1.6664959126684842]"
109,105563,320.70591032,-3.5465389,7.91,2.44,1.056,K0          ,2.1799999999999997,"[320.5528583191407, -3.666495912668484, 320.95285831914066, -1.6664959126684842]"
110,106278,322.88966951,-5.57115593,2.9,5.33,0.828,G0Ib        ,12.2,"[322.57567497347594, -6.211756880213261, 322.9756749734759, -4.211756880213261]"
111,106945,324.88882066,-8.21171487,8.93,2.01,1.088,G5          ,0.14000000000000057,"[324.6150557832092, -8.750603946022519, 325.01505578320916, -6.75060394602252]"
111,106967,324.96280013,-8.22284527,8.57,3.46,0.142,A2          ,0.8599999999999994,"[324.6150557832092, -8.750603946022519, 325.01505578320916, -6.75060394602252]"
112,107589,326.86478679,-9.75650962,8.96,6.73,1.032,K0          ,0.0799999999999983,"[326.6792901716539, -11.279736832493388, 327.0792901716539, -9.279736832493388]"
112,107622,326.98194924,-9.86360241,8.59,1.74,0.914,G5          ,0.8200000000000003,"[326.6792901716539, -11.279736832493388, 327.0792901716539, -9.279736832493388]"
