Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
47,,,,,,,,,"([352.83481611234316, -0.4883501669263676, 353.0348161123432, 0.5116498330736324],)"
48,,,,,,,,,"([357.0129936245964, -0.4877559184566736, 357.21299362459644, 0.5122440815433263],)"
49,,,,,,,,,"([1.1911995340113417, -0.48721543054462907, 1.3911995340113419, 0.5127845694553709],)"
50,,,,,,,,,"([5.369433209552604, -0.4867315733084211, 5.569433209552603, 0.5132684266915789],)"
51,,,,,,,,,"([9.54769387300177, -0.4863069666946896, 9.747693873001769, 0.5136930333053104],)"
52,4336,13.88830014,0.01970097,7.89,3.59,1.306,K4III       ,2.2200000000000006,"[13.725980434973978, -0.4859439665946537, 13.925980434973978, 0.5140560334053462]"
53,5603,17.9630244,-0.44528049,8.37,2.66,0.898,G5          ,1.2600000000000016,"[17.904292172248702, -0.48564465205866875, 18.104292172248705, 0.5143553479413313]"
54,,,,,,,,,"([22.08262772476797, -0.4854108138896553, 22.282627724767973, 0.5145891861103447],)"
55,,,,,,,,,"([26.260985774412273, -0.48524394438496804, 26.460985774412276, 0.514756055615032],)"
56,,,,,,,,,"([30.439364883919588, -0.4851452285085781, 30.63936488391959, 0.5148547714914219],)"
57,,,,,,,,,"([34.61776350454599, -0.4851155364510317, 34.817763504545994, 0.5148844635489682],)"
58,,,,,,,,,"([38.79617981622221, -0.48515541763386033, 38.99617981622221, 0.5148445823661396],)"
59,,,,,,,,,"([42.97461240880452, -0.4852650962109027, 43.17461240880452, 0.5147349037890974],)"
60,,,,,,,,,"([47.15305928273724, -0.4854444680658538, 47.35305928273724, 0.5145555319341463],)"
61,,,,,,,,,"([51.331518531262574, -0.48569309936145827, 51.53151853126258, 0.5143069006385417],)"
62,,,,,,,,,"([55.50998818249294, -0.4860102266395196, 55.70998818249294, 0.5139897733604804],)"
63,18642,59.85586542,-0.4077447,8.93,7.96,0.529,F8          ,0.14000000000000057,"[59.68846604181642, -0.4863947584678017, 59.88846604181642, 0.5136052415321982]"
