9.09000015e+01	0.00000000e+00
9.35000000e+01	0.00000000e+00
9.60999985e+01	0.00000000e+00
9.76999969e+01	0.00000000e+00
9.95999985e+01	0.00000000e+00
1.02000000e+02	0.00000000e+00
1.03800003e+02	0.00000000e+00
1.05599998e+02	0.00000000e+00
1.07699997e+02	0.00000000e+00
1.10400002e+02	0.00000000e+00
1.14000000e+02	0.00000000e+00
1.17800003e+02	0.00000000e+00
1.21300003e+02	0.00000000e+00
1.24800003e+02	0.00000000e+00
1.27099998e+02	0.00000000e+00
1.28399994e+02	0.00000000e+00
1.30500000e+02	0.00000000e+00
1.32399994e+02	0.00000000e+00
1.33899994e+02	0.00000000e+00
1.36600006e+02	0.00000000e+00
1.39800003e+02	0.00000000e+00
1.43300003e+02	0.00000000e+00
1.47199997e+02	0.00000000e+00
1.51000000e+02	0.00000000e+00
1.55199997e+02	0.00000000e+00
1.58800003e+02	0.00000000e+00
1.62000000e+02	0.00000000e+00
1.66000000e+02	0.00000000e+00
1.70300003e+02	0.00000000e+00
1.73399994e+02	0.00000000e+00
1.76800003e+02	0.00000000e+00
1.80199997e+02	0.00000000e+00
1.81699997e+02	0.00000000e+00
1.86100006e+02	0.00000000e+00
1.91000000e+02	0.00000000e+00
1.93899994e+02	0.00000000e+00
1.98399994e+02	0.00000000e+00
2.01800003e+02	0.00000000e+00
2.05000000e+02	0.00000000e+00
2.10500000e+02	0.00000000e+00
2.16199997e+02	0.00000000e+00
2.19800003e+02	0.00000000e+00
2.23000000e+02	0.00000000e+00
2.26800003e+02	0.00000000e+00
2.30000000e+02	0.00000000e+00
2.34000000e+02	0.00000000e+00
2.40000000e+02	0.00000000e+00
2.46500000e+02	0.00000000e+00
2.52399994e+02	0.00000000e+00
2.56799988e+02	0.00000000e+00
2.60000000e+02	0.00000000e+00
2.64000000e+02	0.00000000e+00
2.68500000e+02	0.00000000e+00
2.73500000e+02	0.00000000e+00
2.78500000e+02	0.00000000e+00
2.84000000e+02	0.00000000e+00
2.90000000e+02	2.03556847e-39
2.96000000e+02	1.13093100e-38
3.01000000e+02	4.02156906e-38
3.08000000e+02	2.18499793e-37
3.18000000e+02	2.16209758e-36
3.28000000e+02	1.88230003e-35
3.38000000e+02	1.45435855e-34
3.48000000e+02	1.00469772e-33
3.57000000e+02	5.24597909e-33
3.66000000e+02	2.53804122e-32
3.75000000e+02	1.13848548e-31
3.85000000e+02	5.57292357e-31
3.95000000e+02	2.52586664e-30
4.05000000e+02	1.06203355e-29
4.14000000e+02	3.64632519e-29
4.22000000e+02	1.04596105e-28
4.30000000e+02	2.88140073e-28
4.41000000e+02	1.09276204e-27
4.51000000e+02	3.47013473e-27
4.60000000e+02	9.39511522e-27
4.70000000e+02	2.71357825e-26
4.80000000e+02	7.49269308e-26
4.90000000e+02	1.98291648e-25
5.00000000e+02	5.04017494e-25
5.06000000e+02	8.96570091e-25
5.12000000e+02	1.56669073e-24
5.20000000e+02	3.08501162e-24
5.30000000e+02	6.99288770e-24
5.40000000e+02	1.53497141e-23
5.50000000e+02	3.27779312e-23
5.60000000e+02	6.80161886e-23
5.70000000e+02	1.37443451e-22
5.80000000e+02	2.70767567e-22
5.90000000e+02	5.21230861e-22
6.00000000e+02	9.80855229e-22
6.10000000e+02	1.80644284e-21
6.20000000e+02	3.25832705e-21
6.30000000e+02	5.75986024e-21
6.40000000e+02	9.99819061e-21
6.50000000e+02	1.70555961e-20
6.58000000e+02	2.58102582e-20
6.65000000e+02	3.67734509e-20
6.75000000e+02	6.01756866e-20
6.85000000e+02	9.69149153e-20
6.95000000e+02	1.53940739e-19
7.05000000e+02	2.41017401e-19
7.16000000e+02	3.88620068e-19
7.26000000e+02	5.91834103e-19
7.35000000e+02	8.55705237e-19
7.45000000e+02	1.27376712e-18
7.55000000e+02	1.87459901e-18
7.65000000e+02	2.72943382e-18
7.75000000e+02	3.93322583e-18
7.85000000e+02	5.61064604e-18
7.95000000e+02	7.92318819e-18
8.05000000e+02	1.10944489e-17
