Wavelength,Spectrum
102.0,0.0
103.8,0.0
105.6,0.0
107.7,0.0
110.4,0.0
114.0,0.0
117.8,0.0
121.3,0.0
124.8,0.0
127.1,0.0
128.4,0.0
130.5,0.0
132.4,0.0
133.9,0.0
136.6,0.0
139.8,2.1564240955941874e-12
143.3,4.034001571815588e-11
147.2,3.2569643832408383e-10
151.0,2.1745422158908572e-09
155.2,1.5894391433093682e-08
158.8,8.048214824647634e-08
162.0,3.2106261885255413e-07
166.0,1.6843033633011146e-06
170.3,9.173654808557034e-06
173.4,2.9651967956921977e-05
176.8,0.00010240230117057763
180.2,0.00033810832350708743
181.7,0.0005647969023443598
186.1,0.0024341315447141535
191.0,0.0114708112856449
193.9,0.027666010918257013
198.4,0.10332386099593371
201.8,0.26981663462653754
205.0,0.6484975267553794
210.5,2.7492839069832016
216.2,11.411094984997042
219.8,27.040063927408944
223.0,56.84111199132154
226.8,133.95735663539392
230.0,641.6511244649712
234.0,1702.6616772323173
240.0,5713.848888420642
246.5,19665.884310924263
252.4,57394.0627216987
256.8,121529.57627794323
260.0,212031.4269376553
264.0,409057.55289203045
268.5,835285.2552534395
273.5,1794700.0441902676
278.5,3765938.0109407515
284.0,8271299.069980717
290.0,18773062.99097167
296.0,41167223.10190059
301.0,77426811.93092299
308.0,179444581.230199
318.0,572738995.0619352
328.0,1670023814.8151283
338.0,4621792079.377878
348.0,11985427555.914034
357.0,27308054557.856842
366.0,59347939091.11441
375.0,122634010738.27629
385.0,265292161683.22275
395.0,549609601442.51105
405.0,1098628103509.4493
414.0,1992215422663.9668
422.0,3292037652566.8423
430.0,5333406120468.07
441.0,10125619499377.99
451.0,17594189270871.234
460.0,28227995381671.453
470.0,46826453376563.984
480.0,75769941542693.53
490.0,120374933685821.3
500.0,187281783610011.25
506.0,1586287138060946.0
512.0,8910731346582982.0
520.0,1.1732405622485998e+16
530.0,1.7352376350299128e+16
540.0,2.0837492788657372e+16
550.0,3.249915805135954e+16
560.0,4.163250343095663e+16
570.0,5.61048810585819e+16
580.0,5.998580213733923e+16
590.0,8.619640139558288e+16
600.0,1.132225061419511e+17
610.0,1.4688518190718147e+17
620.0,1.780229515332105e+17
630.0,2.1892908612241894e+17
640.0,2.5137292887904134e+17
650.0,2.722713633181291e+17
658.0,3.673024075017285e+17
665.0,4.121985133221762e+17
675.0,4.787775825047832e+17
685.0,5.5948733883723936e+17
695.0,6.924336986454601e+17
705.0,7.973273018369912e+17
716.0,9.473695646803698e+17
726.0,1.0840609279859936e+18
735.0,1.2220254913327672e+18
745.0,1.443523735830177e+18
755.0,1.662885229513741e+18
765.0,1.9059216693447985e+18
775.0,2.1821725730100165e+18
785.0,2.483271107071155e+18
795.0,2.76217398400977e+18
805.0,3.09258962428159e+18
815.0,3.426229356018088e+18
825.0,3.8901982439032443e+18
835.0,4.1532493378071895e+18
845.0,4.674676592991294e+18
855.0,5.173215959650168e+18
865.0,5.763600841690579e+18
875.0,6.433168777928699e+18
885.0,7.194844582089111e+18
895.0,7.892860384192044e+18
905.0,8.289992591664818e+18
915.0,1.499316322539043e+19
925.0,7.397235343347322e+19
935.0,2.3672891579403174e+20
945.0,8.75198631564868e+20
955.0,1.8045397585120558e+21
965.0,2.45849625486312e+21
975.0,3.8936117905684844e+20
985.0,2.9335028764698917e+21
995.0,3.0073156866854974e+21
1005.0,3.762457762225318e+21
1015.0,3.4129758524651455e+21
1025.0,7.186088546444052e+20
1035.0,2.11208335326709e+21
1045.0,4.848970514516429e+21
1055.0,4.767985721081205e+21
1065.0,3.7776962877627664e+21
1075.0,4.72109705785382e+21
1085.0,4.1195734741676573e+21
1095.0,4.881616029125131e+21
1105.0,4.2611740403207084e+21
1115.0,4.041047929298366e+21
1125.0,3.785699613410079e+21
1135.0,4.936526554780949e+21
1145.0,4.324944898123038e+21
1155.0,4.6635438546251153e+21
1165.0,4.912345963065765e+21
1175.0,3.5728938138420285e+21
1185.0,5.03563250181771e+21
1195.0,3.446357704856978e+21
1205.0,1.8876677195881854e+21
1215.0,7.670938828370207e+20
1225.0,2.944322607393183e+21
1235.0,4.916293750436002e+21
1245.0,5.239442541011762e+21
1255.0,5.147445354050633e+21
1265.0,4.7150377929054943e+21
1275.0,5.151292189275816e+21
1285.0,5.34766464687122e+21
1295.0,3.4334866178983057e+21
1305.0,3.2298285037606514e+21
1315.0,5.129181717757763e+21
1325.0,4.854074996057501e+21
1335.0,4.261120430279556e+21
1345.0,5.04043080441518e+21
1355.0,4.894594290851819e+21
1365.0,4.3672311896486896e+21
1375.0,4.46789515524242e+21
1385.0,4.559051878656734e+21
1395.0,3.9596583368420287e+21
