Wavelength,Spectrum
102.0,0.0
103.8,0.0
105.6,0.0
107.7,0.0
110.4,0.0
114.0,0.0
117.8,0.0
121.3,0.0
124.8,0.0
127.1,0.0
128.4,0.0
130.5,0.0
132.4,0.0
133.9,0.0
136.6,0.0
139.8,0.0
143.3,0.0
147.2,0.0
151.0,0.0
155.2,0.0
158.8,0.0
162.0,0.0
166.0,0.0
170.3,0.0
173.4,0.0
176.8,0.0
180.2,0.0
181.7,0.0
186.1,0.0
191.0,0.0
193.9,0.0
198.4,0.0
201.8,0.0
205.0,4.5773249169081514e-12
210.5,4.175824401092689e-11
216.2,2.9248705212687686e-10
219.8,9.425115351664374e-10
223.0,2.560105732860303e-09
226.8,8.161032484297557e-09
230.0,2.121389016411047e-08
234.0,6.701179022658248e-08
240.0,3.5305699540486943e-07
246.5,1.9728215831791344e-06
252.4,8.793401767042868e-06
256.8,2.5763751657412403e-05
260.0,5.519391578570433e-05
264.0,0.00013979053999725371
268.5,0.00038360997953292654
273.5,0.0011366433582284323
278.5,0.0032729680249374378
284.0,0.010054108159967011
290.0,0.03266952872250692
296.0,0.10110295846901624
301.0,0.25231739140599235
308.0,0.8670429130278344
318.0,4.62975736900793
328.0,22.518571397282876
338.0,100.08540501474845
348.0,411.17408854469625
357.0,1391.1309800123731
366.0,4396.143491041174
375.0,13133.4316520271
385.0,41959.96825947167
395.0,126202.95370644261
405.0,361003.4131290632
414.0,890110.9536519874
422.0,1921066.6247589998
430.0,4020442.06268283
441.0,10716652.706395468
451.0,24981411.0123427
460.0,51849713.76092863
470.0,112846997.49333723
480.0,237778633.34407863
490.0,486332060.17002267
500.0,964066546.8138497
506.0,14820061507.998844
512.0,33111799673.4862
520.0,50131462577.4017
530.0,83059548127.71474
540.0,130302607916.28203
550.0,216197460714.65662
560.0,338405702291.4602
570.0,526816549795.902
580.0,761922377507.8795
590.0,1193172989490.5283
600.0,1764526274564.5964
610.0,2608378475859.8457
620.0,3733700221003.9307
630.0,5348767861444.317
640.0,7440444243778.707
650.0,10494734181130.238
658.0,13639690009351.162
665.0,16908337286068.268
675.0,22948892872247.727
685.0,31048947745518.74
695.0,41923871990397.09
705.0,55442994726185.93
716.0,75047241622144.19
726.0,98446684611767.86
735.0,123921754165685.31
745.0,160271161397021.2
755.0,205474193830558.4
765.0,260861252214127.2
775.0,331441343879945.25
785.0,417650060568414.9
795.0,518661490447249.44
805.0,646812804420256.9
815.0,799625257224071.0
825.0,983110831178122.5
835.0,1192977059410809.2
845.0,1465276870594803.2
855.0,1772330491243642.2
865.0,2149046613647435.2
875.0,2572714358224108.0
885.0,3096132964018751.0
895.0,3686729624616154.5
905.0,4322925053320867.0
915.0,4.6090094359533544e+16
925.0,2.7448713598159946e+17
935.0,4.421895178664548e+17
945.0,1.0968359162836852e+18
955.0,6.598735357261905e+18
965.0,1.0639248963520827e+19
975.0,2.6109451290724306e+18
985.0,3.481471950653568e+19
995.0,4.702508088429036e+19
1005.0,5.549657086017268e+19
1015.0,3.0023150632705868e+19
1025.0,2.1273156050007043e+18
1035.0,1.652764111013838e+19
1045.0,7.808559875012652e+19
1055.0,1.0924549449405042e+20
1065.0,9.930675842308067e+19
1075.0,1.2837415558894841e+20
1085.0,1.2689328612698569e+20
1095.0,1.4433024746512286e+20
1105.0,1.659063732865902e+20
1115.0,2.8068118464256446e+20
1125.0,3.1634026841670766e+20
1135.0,3.7296606150801405e+20
1145.0,3.365856662904987e+20
1155.0,3.919509028365955e+20
1165.0,4.362929074474762e+20
1175.0,4.064631074764316e+20
1185.0,3.5935628639088955e+20
1195.0,5.8615278786192155e+19
1205.0,5.34534451337619e+19
1215.0,4.848199092144692e+18
1225.0,3.2339533915118096e+19
1235.0,2.6646515389512103e+20
1245.0,4.7467447717072575e+20
1255.0,5.617919574478276e+20
1265.0,4.0888718173551205e+20
1275.0,5.98552580417596e+20
1285.0,7.215244862788166e+20
1295.0,5.4130219862685765e+20
1305.0,3.3197521549600824e+20
1315.0,6.342062641040493e+20
1325.0,6.89119549076421e+20
1335.0,5.938055798669543e+20
1345.0,7.53938960116182e+20
1355.0,7.132025372511637e+20
1365.0,6.190578021329523e+20
1375.0,7.019985033240067e+20
1385.0,7.162973209518697e+20
1395.0,7.213809825998986e+20
1405.0,7.25841607967501e+20
1415.0,6.721478415846613e+20
1425.0,7.175262679480458e+20
1435.0,6.745722319311402e+20
1442.0,7.517932975999691e+20
1447.0,7.908073377959531e+20
1455.0,7.767831719375611e+20
1465.0,7.251645487599185e+20
1475.0,6.894593162255948e+20
1485.0,7.178847699260595e+20
1495.0,7.611846043431464e+20
