Wavelength,Spectrum
102.0,0.0
103.8,0.0
105.6,0.0
107.7,0.0
110.4,0.0
114.0,0.0
117.8,0.0
121.3,0.0
124.8,0.0
127.1,0.0
128.4,0.0
130.5,0.0
132.4,0.0
133.9,0.0
136.6,0.0
139.8,0.0
143.3,0.0
147.2,0.0
151.0,0.0
155.2,0.0
158.8,0.0
162.0,0.0
166.0,0.0
170.3,0.0
173.4,0.0
176.8,0.0
180.2,0.0
181.7,0.0
186.1,0.0
191.0,0.0
193.9,0.0
198.4,0.0
201.8,0.0
205.0,0.0
210.5,0.0
216.2,0.0
219.8,0.0
223.0,0.0
226.8,0.0
230.0,0.0
234.0,0.0
240.0,0.0
246.5,0.0
252.4,0.0
256.8,0.0
260.0,0.0
264.0,0.0
268.5,5.299249589934669e-13
273.5,1.1601576601514844e-11
278.5,4.8064565088790134e-11
284.0,2.0808412667768872e-10
290.0,9.522196002377995e-10
296.0,4.092396092209788e-09
301.0,1.3274254490052483e-08
308.0,6.495520223681025e-08
318.0,5.606770733628229e-07
328.0,4.285993283086474e-06
338.0,2.927348521518622e-05
348.0,0.00018046340024235373
357.0,0.0008553514192183966
366.0,0.003769114741860833
375.0,0.01549934555271373
385.0,0.0693897152239782
395.0,0.28841395481196513
405.0,1.1201347000716715
414.0,3.5986551026465188
422.0,9.750727056482141
430.0,25.441052025245746
441.0,90.2997820427447
451.0,270.4846498110368
460.0,697.6302073706806
470.0,1916.1407751419433
480.0,5040.203369004222
490.0,12759.24682531532
500.0,31134.60964368111
506.0,62920.48407202103
512.0,111214.2109495675
520.0,210946.61898385632
530.0,458687.05422331166
540.0,961993.0267837548
550.0,1982215.751143579
560.0,3961460.1109272656
570.0,7736491.735673101
580.0,14695788.85407683
590.0,27537344.681536663
600.0,50333759.74961072
610.0,90120944.14472355
620.0,158229554.3140996
630.0,273253125.0485165
640.0,463662281.1100366
650.0,774161267.3399799
658.0,1152655649.9751508
665.0,1618945914.6795022
675.0,2599139284.6154966
685.0,4117774847.2927976
695.0,6436645853.229912
705.0,9916452082.046799
716.0,15738194195.753534
726.0,23636383512.232742
735.0,33775298922.79647
745.0,49687357540.142365
755.0,72309734457.0435
765.0,104170393021.49031
775.0,148548436975.3018
785.0,209817552997.67667
795.0,293707145423.9997
805.0,407731236190.3622
815.0,561077251572.7219
825.0,766148431398.8744
835.0,1036728729537.5519
845.0,1393695701009.9697
855.0,1859893014128.0134
865.0,2463474615883.095
875.0,3240369855975.5435
885.0,4235782973918.8696
895.0,5500673090938.996
905.0,7099986666501.58
915.0,141775632640979.94
925.0,1056664368808586.0
935.0,1743696133813716.5
945.0,2825726516351760.0
955.0,4125869847349300.0
965.0,5427603097961285.0
975.0,4805840219871988.0
985.0,7534575317994665.0
995.0,8258952809132323.0
1005.0,1.0406798290665468e+16
1015.0,1.1966910863431598e+16
1025.0,9460495837042424.0
1035.0,1.5650877884184882e+16
1045.0,1.895326419747149e+16
1055.0,2.1909123895784836e+16
1065.0,2.408946316188357e+16
1075.0,2.8610650875038264e+16
1085.0,3.2642440469098644e+16
1095.0,3.541455856266516e+16
1105.0,5.902774123249207e+16
1115.0,1.081278094529618e+18
1125.0,1.941566845273408e+18
1135.0,3.0307976987492337e+18
1145.0,2.733944218449922e+18
1155.0,3.3207762781312154e+18
1165.0,3.250838780339568e+18
1175.0,2.077626665956833e+18
1185.0,1.3686552746219625e+18
1195.0,1.4957887871718064e+17
1205.0,1.3749959878358304e+17
1215.0,3.2067856796109144e+16
1225.0,1.4349893760707336e+17
1235.0,3.2806521437658906e+17
1245.0,1.429296642023786e+18
1255.0,1.3019355465470237e+19
1265.0,1.607399247581418e+19
1275.0,3.803621905454667e+19
1285.0,5.918742858621322e+19
1295.0,5.82153650096126e+19
1305.0,2.9130330166908674e+19
1315.0,6.5590347800105665e+19
1325.0,7.976765784123315e+19
1335.0,7.2774097714507506e+19
1345.0,9.565594897042981e+19
1355.0,8.977134987259422e+19
1365.0,7.893116414984828e+19
1375.0,8.90971354515982e+19
1385.0,8.501707931178718e+19
1395.0,9.030490540125869e+19
1405.0,9.654794760899091e+19
1415.0,9.32097485934545e+19
1425.0,1.061200222977031e+20
1435.0,9.443648378702488e+19
1442.0,1.0966500568933684e+20
1447.0,1.2010758507351227e+20
1455.0,1.2086360291323956e+20
1465.0,1.0983973880322648e+20
1475.0,1.050879969416074e+20
1485.0,1.1378008431290142e+20
1495.0,1.2550945549636185e+20
1505.0,1.276809759240425e+20
1512.0,1.1345919238594634e+20
1517.0,1.2706871463315204e+20
1525.0,1.1684486772873716e+20
1535.0,1.1460285981119147e+20
