Wavelength,Spectrum,3-Averaged,5-Averaged
3510,4.44E+21,4.44E+21,4.44E+21
3530,4.39E+21,4.38E+21,4.38E+21
3550,4.32E+21,4.33E+21,4.32E+21
3570,4.28E+21,4.26E+21,4.26E+21
3590,4.19E+21,4.20E+21,4.20E+21
3610,4.14E+21,4.14E+21,4.15E+21
3630,4.08E+21,4.10E+21,4.09E+21
3640,4.07E+21,4.04E+21,4.03E+21
3650,3.95E+21,3.98E+21,3.98E+21
3670,3.92E+21,3.91E+21,3.91E+21
3690,3.86E+21,3.84E+21,3.83E+21
3710,3.75E+21,3.75E+21,3.78E+21
3730,3.65E+21,3.71E+21,3.74E+21
3750,3.74E+21,3.70E+21,3.73E+21
3770,3.70E+21,3.76E+21,2.99E+21
3790,3.83E+21,2.51E+21,2.26E+21
