Wavelength,Spectrum
102.0,0.0
103.8,0.0
105.6,0.0
107.7,0.0
110.4,0.0
114.0,0.0
117.8,0.0
121.3,0.0
124.8,0.0
127.1,0.0
128.4,0.0
130.5,0.0
132.4,0.0
133.9,0.0
136.6,0.0
139.8,0.0
143.3,0.0
147.2,0.0
151.0,0.0
155.2,0.0
158.8,0.0
162.0,0.0
166.0,0.0
170.3,0.0
173.4,0.0
176.8,0.0
180.2,0.0
181.7,0.0
186.1,0.0
191.0,0.0
193.9,0.0
198.4,0.0
201.8,0.0
205.0,0.0
210.5,0.0
216.2,0.0
219.8,3.133368208827534e-12
223.0,1.251575911321646e-11
226.8,4.603843187509494e-11
230.0,1.290572258752602e-10
234.0,4.4171570795785187e-10
240.0,2.591410943656201e-09
246.5,1.6144101155511217e-08
252.4,7.88709641783647e-08
256.8,2.465982347366851e-07
260.0,5.530897457985126e-07
264.0,1.4800172670963986e-06
268.5,4.311368923555742e-06
273.5,1.3596841041815176e-05
278.5,4.158553421352229e-05
284.0,0.00013601771413809794
290.0,0.0004718931862744065
296.0,0.001553501346560581
301.0,0.004079702065805761
308.0,0.015012128806191878
318.0,0.08787090780018433
328.0,0.4653008610575424
338.0,2.2435883919066213
348.0,9.95265639429165
357.0,36.087254866306615
366.0,121.63434661834565
375.0,386.17979001182846
385.0,1317.4553955000813
395.0,4217.58589407588
405.0,12837.383647918752
414.0,33395.51959954247
422.0,75524.78706637204
430.0,165031.12499996988
441.0,468086.8686718677
451.0,1150137.1263761602
460.0,2500592.5676413686
470.0,5719601.250261076
480.0,12659679.308156127
490.0,27147861.877578184
500.0,56389993.503282845
506.0,400170433.0455062
512.0,821807009.1730638
520.0,1320840688.2855966
530.0,2353744871.0793276
540.0,4031631568.9790955
550.0,7040846822.265235
560.0,11810036935.28412
570.0,19552028767.788773
580.0,30766557796.85886
590.0,50278126692.75814
600.0,78895416292.8781
610.0,122937769323.20029
620.0,187194546721.31885
630.0,282492990280.2288
640.0,417134225380.8496
650.0,617603176546.3759
658.0,834437876399.8754
665.0,1075373618810.4181
675.0,1534477866028.2512
685.0,2173426457820.3962
695.0,3058395274427.8066
705.0,4233099401021.3022
716.0,6015547768018.555
726.0,8201595974974.532
735.0,10738026559150.35
745.0,14402269406706.264
755.0,19163273393323.25
765.0,25273652179886.562
775.0,33193127934761.703
785.0,43248817100404.1
795.0,55635489738063.234
805.0,71653221743735.78
815.0,91555029489983.77
825.0,116095743777550.34
835.0,145427070737910.6
845.0,183707147959975.4
855.0,228905752681208.47
865.0,284516266373354.06
875.0,350201117476085.56
885.0,431410923918625.9
895.0,527209118970735.06
905.0,636195428704712.0
915.0,9145135439561062.0
925.0,6.011350144633239e+16
935.0,9.693768337133882e+16
945.0,1.9200602586796102e+17
955.0,6.550437202771424e+17
965.0,1.0187812940986116e+18
975.0,3.740752121893432e+17
985.0,3.898675707930958e+18
995.0,6.327880065489046e+18
1005.0,7.242826649181094e+18
1015.0,3.2191952708759424e+18
1025.0,4.646658605988441e+17
1035.0,2.2468693417345684e+18
1045.0,1.0820999217657125e+19
1055.0,1.7327215793378693e+19
1065.0,1.6993237848125802e+19
1075.0,2.2603093779187e+19
1085.0,2.394510604698957e+19
1095.0,2.6976257763625124e+19
1105.0,4.398789189834351e+19
1115.0,1.2532675698003005e+20
1125.0,1.497068941135723e+20
1135.0,1.7859032841351427e+20
1145.0,1.5982390347729486e+20
1155.0,1.9028018867216243e+20
1165.0,2.098241886086867e+20
1175.0,1.9260943671169355e+20
1185.0,1.515484192972211e+20
1195.0,1.349987152866676e+19
1205.0,1.0558140937066265e+19
1215.0,1.2381649139000704e+18
1225.0,6.407502481170669e+18
1235.0,7.582506811102888e+19
1245.0,2.0054228215179556e+20
1255.0,2.868859802750785e+20
1265.0,2.0960166308014414e+20
1275.0,3.3715936491877243e+20
1285.0,4.2055080674008485e+20
1295.0,3.321329431078586e+20
1305.0,1.89664766507287e+20
1315.0,3.716786375339321e+20
1325.0,4.176431187613026e+20
1335.0,3.645034535880296e+20
1345.0,4.624646551645079e+20
1355.0,4.3600779661403115e+20
1365.0,3.771817191417807e+20
1375.0,4.3305554031206066e+20
1385.0,4.391819462697471e+20
1395.0,4.486143103283232e+20
1405.0,4.492543873102815e+20
1415.0,4.173864557937224e+20
1425.0,4.5024437304237693e+20
1435.0,4.164821297466197e+20
1442.0,4.6910733107009756e+20
1447.0,5.010124005194623e+20
1455.0,4.9265255494924743e+20
1465.0,4.556589501786462e+20
1475.0,4.3154148167325575e+20
1485.0,4.551203372516057e+20
1495.0,4.883338528235705e+20
1505.0,4.8218121161180866e+20
