Wavelength,Spectrum
102.0,0.0
103.8,0.0
105.6,0.0
107.7,0.0
110.4,0.0
114.0,0.0
117.8,0.0
121.3,0.0
124.8,0.0
127.1,0.0
128.4,0.0
130.5,0.0
132.4,0.0
133.9,0.0
136.6,0.0
139.8,0.0
143.3,0.0
147.2,0.0
151.0,0.0
155.2,4.818355213949024e-13
158.8,3.0909884814566416e-11
162.0,1.5372088807252586e-10
166.0,1.0116313989492662e-09
170.3,6.900965910674971e-09
173.4,2.5968766612914163e-08
176.8,1.0528593295813617e-07
180.2,4.050920196991583e-07
181.7,7.222784007048211e-07
186.1,3.7388451145193625e-06
191.0,2.1335710512644903e-05
193.9,5.719521769189155e-05
198.4,0.0002499689767665831
201.8,0.0007317580125866548
205.0,0.0019517132718409407
210.5,0.009771535014404352
216.2,0.04765898599312064
219.8,0.12438984815045279
223.0,0.2836416509914942
226.8,0.7338047742287764
230.0,1.78115243612562
234.0,4.963014617243788
240.0,19.35972098480101
246.5,77.96229673848536
252.4,259.76516261185475
256.8,609.9207051377072
260.0,1129.5193299565449
264.0,2366.559043627977
268.5,5289.06498665902
273.5,12523.132673518128
278.5,28821.13241815675
284.0,69660.60334015751
290.0,175264.14219411172
296.0,424022.3778673862
301.0,863130.9664743688
308.0,2233321.7702079397
318.0,8163892.830449483
328.0,27308433.750815313
338.0,85384559.71131521
348.0,249256410.40583783
357.0,621991732.3137462
366.0,1481268962.549716
375.0,3363960031.9722323
385.0,8002574507.641282
395.0,18173823827.856693
405.0,39607962648.58481
414.0,77286025863.97734
422.0,136323431594.92343
430.0,234838398644.9932
441.0,482583892068.55164
451.0,897528904229.0253
460.0,1530191764029.2603
470.0,2701434631781.274
480.0,4648760494584.722
490.0,7818484948425.756
500.0,12858435467357.17
506.0,123569812879428.66
512.0,502664939384067.25
520.0,683431529536239.6
530.0,1038328138821722.2
540.0,1322825762713750.2
550.0,2091392272161416.8
560.0,2823646661269643.5
570.0,3909685032020640.5
580.0,4612600188800291.0
590.0,6825591283163853.0
600.0,9198143296289160.0
610.0,1.2266782978386566e+16
620.0,1.5434926973531108e+16
630.0,1.9682509434546012e+16
640.0,2.385878257845979e+16
650.0,2.923650392406412e+16
658.0,3.678847669247211e+16
665.0,4.172012285782025e+16
675.0,5.039539437951418e+16
685.0,6.149164250378327e+16
695.0,7.649283434909557e+16
705.0,9.145419918219709e+16
716.0,1.113487400436555e+17
726.0,1.3181299683216654e+17
735.0,1.526370242976479e+17
745.0,1.8339580513287798e+17
755.0,2.1669055516625674e+17
765.0,2.537521187275351e+17
775.0,2.9763579661059386e+17
785.0,3.467349165688681e+17
795.0,3.964342864968899e+17
805.0,4.5577147729251136e+17
815.0,5.172833493897985e+17
825.0,5.971681176121752e+17
835.0,6.629996400973348e+17
845.0,7.5747816350836e+17
855.0,8.577884994216714e+17
865.0,9.728127037350606e+17
875.0,1.1018806711637119e+18
885.0,1.2509854187831457e+18
895.0,1.3980830114221176e+18
905.0,1.51039202498241e+18
915.0,3.525012989796655e+18
925.0,1.6069251164836714e+19
935.0,4.198465640162315e+19
945.0,1.9254369053280597e+20
955.0,5.478822093206504e+20
965.0,8.113647432042835e+20
975.0,1.5187367323027544e+20
985.0,1.2310624699081215e+21
995.0,1.2731241801739393e+21
1005.0,1.5686437309901064e+21
1015.0,1.3205309682006557e+21
1025.0,1.7223286256752578e+20
1035.0,7.445944411455851e+20
1045.0,2.0670882698110621e+21
1055.0,2.1762396552246534e+21
1065.0,1.7585712067870285e+21
1075.0,2.2208932793260103e+21
1085.0,1.964445251176687e+21
1095.0,2.319667474785432e+21
1105.0,2.041172216873266e+21
1115.0,2.034269047728862e+21
1125.0,2.0261992007046377e+21
1135.0,2.5536480122678915e+21
1145.0,2.2547620904008305e+21
1155.0,2.4548041825017114e+21
1165.0,2.6638612733200124e+21
1175.0,2.1623065275539676e+21
1185.0,2.6953595256035554e+21
1195.0,1.4398855698734664e+21
1205.0,8.714656011546759e+20
1215.0,2.066168497761284e+20
1225.0,1.1345167446211253e+21
1235.0,2.611561449532406e+21
1245.0,2.9900319573366465e+21
1255.0,2.972792551027162e+21
1265.0,2.5358522969921537e+21
1275.0,2.9210268669988795e+21
1285.0,3.155146481318311e+21
1295.0,2.0826872252067844e+21
1305.0,1.7464997762391542e+21
1315.0,2.9652823168664024e+21
1325.0,2.8839656731334227e+21
1335.0,2.468563506406033e+21
1345.0,3.0431346443302134e+21
1355.0,2.9269913813863367e+21
1365.0,2.59738486922329e+21
1375.0,2.7311532779839496e+21
1385.0,2.807052184920451e+21
1395.0,2.590974614354201e+21
1405.0,2.715244431109628e+21
