Wavelength,Spectrum
102.0,0.0
103.8,0.0
105.6,0.0
107.7,0.0
110.4,0.0
114.0,0.0
117.8,0.0
121.3,0.0
124.8,0.0
127.1,0.0
128.4,0.0
130.5,0.0
132.4,0.0
133.9,0.0
136.6,0.0
139.8,0.0
143.3,0.0
147.2,0.0
151.0,0.0
155.2,0.0
158.8,0.0
162.0,0.0
166.0,0.0
170.3,0.0
173.4,0.0
176.8,0.0
180.2,0.0
181.7,0.0
186.1,0.0
191.0,1.7109622175780417e-12
193.9,1.0652088372982278e-11
198.4,6.64368125003685e-11
201.8,2.3473409978063955e-10
205.0,7.375299125399042e-10
210.5,4.806589538456939e-09
216.2,3.082048166961102e-08
219.8,9.557120195198049e-08
223.0,2.524862011821964e-07
226.8,7.80689093446416e-07
230.0,1.9759887763726294e-06
234.0,6.093191676183544e-06
240.0,3.098162290733031e-05
246.5,0.00016689509456503443
252.4,0.0007208962213175723
256.8,0.0020649962903890296
260.0,0.004350753359985753
264.0,0.010793044997789453
268.5,0.02902535766512863
273.5,0.08408117947928483
278.5,0.2359213214742139
284.0,0.7041466113165055
290.0,2.218301329942329
296.0,6.672832426564721
301.0,16.208443780943423
308.0,53.56467596548491
318.0,270.3874824760527
328.0,1237.89941082621
338.0,5183.757523732897
348.0,20010.911690628163
357.0,63485.58587391321
366.0,189473.78450497516
375.0,535531.0712082396
385.0,1605625.9511360622
395.0,4542207.409500557
405.0,12210108.15187944
414.0,28501347.789604943
422.0,58664430.631922424
430.0,117351239.31814067
441.0,292449738.10296977
451.0,643780251.6717281
460.0,1270216233.7314997
470.0,2618834549.6868505
480.0,5231373149.771989
490.0,10147923243.782198
500.0,19139092142.95882
506.0,303758466757.76746
512.0,748980434697.7247
520.0,1088756734291.1626
530.0,1724180867155.4702
540.0,2526511870999.1084
550.0,4081952584620.6704
560.0,6078487135083.616
570.0,9040921479259.766
580.0,12290489701118.168
590.0,18854296948438.25
600.0,26775129962904.95
610.0,38092197662085.016
620.0,51972356802883.27
630.0,71608969170328.31
640.0,95321847059650.31
650.0,129273426745692.64
658.0,163518209094864.66
665.0,196367086270931.66
675.0,256884228759250.88
685.0,335952221857779.3
695.0,438878197006389.4
705.0,561115188939503.6
716.0,729198456139548.9
726.0,928014901095545.8
735.0,1130954390077549.5
745.0,1423742986432178.0
755.0,1775526134842456.2
765.0,2187384854211246.8
775.0,2706893458886471.0
785.0,3320953287074374.0
795.0,4007564655839503.5
805.0,4868144206989911.0
815.0,5842622691315055.0
825.0,7019985033240068.0
835.0,8308610139436345.0
845.0,9941233161417896.0
855.0,1.176689075766212e+16
865.0,1.3944195584735272e+16
875.0,1.6351201124296848e+16
885.0,1.930187698927483e+16
895.0,2.248475065718938e+16
905.0,2.5716712698090652e+16
915.0,1.7740752936833507e+17
925.0,9.584244053554358e+17
935.0,1.629025947386645e+18
945.0,5.487764012517392e+18
955.0,3.27401114752345e+19
965.0,5.242148299514592e+19
975.0,1.1914440355280945e+19
985.0,1.347505866788467e+20
995.0,1.5983243783705435e+20
1005.0,1.9104543626392587e+20
1015.0,1.2339072166423036e+20
1025.0,8.009022503140027e+18
1035.0,6.400371549460556e+19
1045.0,2.614083876939515e+20
1055.0,3.305376500076398e+20
1065.0,2.870806901125532e+20
1075.0,3.658221919613759e+20
1085.0,3.46452966609408e+20
1095.0,3.985175963889847e+20
1105.0,3.9824512884918354e+20
1115.0,5.219598398945783e+20
1125.0,5.6661039112068255e+20
1135.0,6.728887504467404e+20
1145.0,6.076638228421829e+20
1155.0,6.910252131977534e+20
1165.0,7.703618858711346e+20
1175.0,7.080420943832868e+20
1185.0,6.912196309198978e+20
1195.0,1.7405542250726474e+20
1205.0,1.4945939768054845e+20
1215.0,1.4970120454039935e+19
1225.0,1.0942471604899873e+20
1235.0,6.024158006020375e+20
1245.0,8.791433136925023e+20
1255.0,9.520552442757027e+20
1265.0,7.146928637446455e+20
1275.0,9.656153936712632e+20
1285.0,1.1299714102582764e+21
1295.0,8.139180972093495e+20
1305.0,5.402022144800849e+20
1315.0,1.0058849282398968e+21
1325.0,1.057091086796558e+21
1335.0,9.021861354146878e+20
1345.0,1.145320616756886e+21
1355.0,1.0870214573825234e+21
1365.0,9.492104576892216e+20
1375.0,1.0569962605770088e+21
1385.0,1.082194747985262e+21
1395.0,1.072370751639947e+21
1405.0,1.0898283155041442e+21
1415.0,1.011710476243963e+21
1425.0,1.0702087138342213e+21
1435.0,1.022381587626436e+21
1442.0,1.1249095346686756e+21
1447.0,1.1654003304162576e+21
1455.0,1.1451687815198833e+21
1465.0,1.0770963175201997e+21
1475.0,1.0303658375762591e+21
