Wavelength,Spectrum
102.0,0.0
103.8,0.0
105.6,0.0
107.7,0.0
110.4,0.0
114.0,0.0
117.8,0.0
121.3,0.0
124.8,0.0
127.1,0.0
128.4,0.0
130.5,0.0
132.4,0.0
133.9,0.0
136.6,0.0
139.8,0.0
143.3,0.0
147.2,0.0
151.0,0.0
155.2,0.0
158.8,0.0
162.0,0.0
166.0,0.0
170.3,0.0
173.4,0.0
176.8,0.0
180.2,5.5261572829782935e-12
181.7,1.4266377221430239e-11
186.1,1.0351824642472385e-10
191.0,7.627485825362324e-10
193.9,2.3608656390219573e-09
198.4,1.2868448620690033e-08
201.8,4.448466229154668e-08
205.0,1.3840834733693477e-07
210.5,8.954468535827851e-07
216.2,5.650193504411477e-06
219.8,1.727173552497245e-05
223.0,4.515428647135629e-05
226.8,0.00013695394635185508
230.0,0.0003374738839886179
234.0,0.0010227804361697148
240.0,0.004974962879681379
246.5,0.025353717838484342
252.4,0.10347525736459902
256.8,0.28328762426832205
260.0,0.5770870990607249
264.0,1.3703677674846133
268.5,3.510201028997437
273.5,9.627061046124368
278.5,25.493587540040064
284.0,71.4380262261863
290.0,210.09696499253724
296.0,590.3754067165178
301.0,1353.8750553849784
308.0,4129.795821602393
318.0,18641.658496630982
328.0,76492.64550068357
338.0,288247.67295858776
348.0,1004065.5153342648
357.0,2906840.9126355844
366.0,7961647.510767585
375.0,20721899.759863894
385.0,56855273.373051785
395.0,147777818.78030038
405.0,365868016.8374634
414.0,795368215.7513219
422.0,1540374862.9888618
430.0,2905917864.3986163
441.0,6696513674.087366
451.0,13770853760.118734
460.0,25622423796.61255
470.0,49589685822.673004
480.0,93248311675.68188
490.0,170649891440.20224
500.0,304265727503.1098
506.0,3393931435817.3354
512.0,9648706744743.725
520.0,13639045361989.281
530.0,21131770054408.973
540.0,29313819839349.473
550.0,46799902343769.266
560.0,67157191954082.96
570.0,96643094314615.97
580.0,126461508502714.06
590.0,191862531295076.44
600.0,265513414738243.8
610.0,367039418078822.06
620.0,483664293685560.9
630.0,645595867936039.8
640.0,829008741788436.8
650.0,1089332001443344.8
658.0,1356897455572637.0
665.0,1590358975928396.0
675.0,2018802801096372.2
685.0,2575720349383823.5
695.0,3280272838887693.5
705.0,4086915236358417.5
716.0,5160063562998670.0
726.0,6393297513482173.0
735.0,7615588518229678.0
745.0,9395855964049604.0
755.0,1.1474099000433506e+16
765.0,1.3836188520668534e+16
775.0,1.6760692349050892e+16
785.0,2.01381178107409e+16
795.0,2.3792088137376732e+16
805.0,2.8294879563938852e+16
815.0,3.3180326395122536e+16
825.0,3.921490896354537e+16
835.0,4.5396472172269736e+16
845.0,5.323180464993516e+16
855.0,6.199643407918443e+16
865.0,7.212703520104243e+16
875.0,8.336014916886114e+16
885.0,9.684506976357894e+16
895.0,1.1095268253333765e+17
905.0,1.2420685932715195e+17
915.0,5.487659703675888e+17
925.0,2.7553970701859753e+18
935.0,5.229315151135577e+18
945.0,2.247438299051865e+19
955.0,1.0498811332368207e+20
965.0,1.653231920363615e+20
975.0,3.5996032940941914e+19
985.0,3.4609231088772186e+20
995.0,3.803018178523536e+20
1005.0,4.5883942158233213e+20
1015.0,3.347526754666093e+20
1025.0,2.5744212301759967e+19
1035.0,1.7463291418432045e+20
1045.0,6.178803554336225e+20
1055.0,7.243016301620193e+20
1065.0,6.09440526946255e+20
1075.0,7.726914065044383e+20
1085.0,7.09230583001639e+20
1095.0,8.251398320308223e+20
1105.0,7.684084657484174e+20
1115.0,8.754546241237194e+20
1125.0,9.224220051499385e+20
1135.0,1.1150235851932548e+21
1145.0,1.0010709634865428e+21
1155.0,1.1156873687301004e+21
1165.0,1.2380289491837636e+21
1175.0,1.1030660464476239e+21
1185.0,1.1776278553397508e+21
1195.0,4.096799531053091e+20
1205.0,3.096597612494543e+20
1215.0,3.968733318934035e+19
1225.0,2.8297092175728332e+20
1235.0,1.0977146392515096e+21
1245.0,1.4277225267792668e+21
1255.0,1.476479058773849e+21
1265.0,1.1563678169167815e+21
1275.0,1.4605134334994397e+21
1285.0,1.6620570805296767e+21
1295.0,1.1559569032987341e+21
1305.0,8.332379911803387e+20
1315.0,1.507996082501796e+21
1325.0,1.5370540506541313e+21
1335.0,1.30475188526764e+21
1345.0,1.6495336978011896e+21
1355.0,1.5718552744425268e+21
1365.0,1.3815327304635575e+21
1375.0,1.5063934637600292e+21
1385.0,1.547993781907721e+21
1395.0,1.5036120067251957e+21
1405.0,1.5454777262156777e+21
1415.0,1.442872538539522e+21
1425.0,1.5179306517822434e+21
1435.0,1.4714310922435575e+21
1442.0,1.597116292333484e+21
1447.0,1.630096851492756e+21
